file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
venkatachala nilayam_034,0.0,9.992902494331066,montreal-forced-aligners,-45.99615631256256,-48.45381450653076,8.437063074034354,18.55181783857267
annapoorna_024,0.0,9.992902494331066,montreal-forced-aligners,-46.36581894394394,-63.084643602371216,6.832651888430352,-1.3667967049995333
venkatachala nilayam_023,0.0,9.992902494331066,montreal-forced-aligners,-49.504176051051054,-56.04863655567169,5.818760182017013,0.4508881572447567
kannan_chopped_034,0.0,9.992902494331066,montreal-forced-aligners,-50.0746605980981,-57.791815757751465,5.341446480113457,14.502821552368095
venkatachala nilayam_009,0.0,9.992902494331066,montreal-forced-aligners,-48.026244994995,-55.072772543770924,4.864127088198702,2.9758808220831137
rangapura_046,0.0,9.992902494331066,montreal-forced-aligners,-49.53964902402402,-52.400441360473636,4.588992967613606,-0.2688005985347157
rangapura_039,0.0,9.992902494331066,montreal-forced-aligners,-43.86431353228228,-54.30349212222629,4.512508217518988,4.18703331647437
rangapura_034,0.0,9.992902494331066,montreal-forced-aligners,-46.27637794044044,-54.8590970472856,4.512508217518988,-0.15132443010505092
kannan_chopped_029,0.0,9.992902494331066,montreal-forced-aligners,-53.764936811811815,-58.18295240402222,4.386826188820343,12.984193060051787
rangapura_038,0.0,9.992902494331066,montreal-forced-aligners,-46.03125391016016,-53.89557365749193,4.207653178248906,2.2046435053298845
annapoorna_018,0.0,9.992902494331066,montreal-forced-aligners,-51.93030139514514,-57.48098873269969,4.108008577232106,-0.5017527587608264
venkatachala nilayam_025,0.0,9.992902494331066,montreal-forced-aligners,-53.34069616491492,-59.49202640240009,4.107998933199961,3.2219097476241103
venkatachala nilayam_022,0.0,9.992902494331066,montreal-forced-aligners,-48.81007179054054,-55.814027695428756,3.9095139094195863,7.189267126283653
kannan_chopped_032,0.0,9.992902494331066,montreal-forced-aligners,-48.7489207957958,-59.20301834742228,3.9095025293971895,14.255888964474996
venkatachala nilayam_008,0.0,9.992902494331066,montreal-forced-aligners,-46.617394738488485,-55.38453229268392,3.8634174600759437,12.307435140452187
venkatachala nilayam_013,0.0,9.992902494331066,montreal-forced-aligners,-48.97022413038038,-52.74907143910726,3.7035089369452256,12.05619232472216
annapoorna_016,0.0,9.992902494331066,montreal-forced-aligners,-52.13278121871872,-58.85936657587687,3.7035089369452256,-3.0786849340931752
kannan_chopped_031,0.0,9.966780045351474,montreal-forced-aligners,-51.127895404964896,-59.07372522354126,3.665467986909338,0.7890447436223322
venkatachala nilayam_011,0.0,9.992902494331066,montreal-forced-aligners,-46.537889451951955,-54.29758596420288,3.517008094287656,12.36282106956659
venkatachala nilayam_020,0.0,9.992902494331066,montreal-forced-aligners,-50.870855230230234,-56.25001862469841,3.4321959400076314,2.4302569782822285
kannan_chopped_030,0.0,9.992902494331066,montreal-forced-aligners,-50.46327968593594,-60.762166023254395,3.4321902499964327,10.270360441654383
annapoorna_014,0.0,9.992902494331066,montreal-forced-aligners,-49.6239207957958,-55.2696117401123,3.2989996526261987,-2.9982821906701087
kannan_chopped_033,0.0,9.992902494331066,montreal-forced-aligners,-49.92327092717718,-59.66177021373402,2.954882238104075,12.669817269373773
annapoorna_013,0.0,9.992902494331066,montreal-forced-aligners,-46.015480324074076,-54.03809642791748,2.8736718640455328,-0.7754324109372366
annapoorna_020,0.0,9.992902494331066,montreal-forced-aligners,-49.53039758508508,-54.20957741370568,2.5767479492627268,0.26506869066111705
venkatachala nilayam_010,0.0,9.966780045351474,montreal-forced-aligners,-48.6460279275326,-56.500981538192086,2.4900027830604725,0.901474034841736
venkatachala nilayam_019,0.0,9.992902494331066,montreal-forced-aligners,-50.097362987987985,-56.56851243972778,2.26628532478175,4.755997194941521
rangapura_040,0.0,9.992902494331066,montreal-forced-aligners,-48.568126720470474,-53.09152897921476,2.0855103757977003,-0.44928874176649813
annapoorna_017,0.0,9.992902494331066,montreal-forced-aligners,-46.8862769019019,-56.5043830871582,2.0818754462146245,-0.43846377386526747
rangapura_045,0.0,9.992902494331066,montreal-forced-aligners,-46.68993993993994,-55.63800017038981,1.8502774553059178,1.0379942546809584
annapoorna_012,0.0,9.992902494331066,montreal-forced-aligners,-45.098395270270274,-53.35880215962728,1.676941187412872,0.4241173915259324
kannan_chopped_028,0.0,9.992902494331066,montreal-forced-aligners,-51.7206737987988,-60.38243632846408,1.04562885299265,-1.0694905555459666
annapoorna_015,0.0,9.966780045351474,montreal-forced-aligners,-46.56333061685055,-54.82638422648112,1.0426423344090103,0.08954051638704286
annapoorna_019,0.0,9.992902494331066,montreal-forced-aligners,-49.00525916541542,-54.00124034881592,0.8720018109049107,1.466559353163058
venkatachala nilayam_014,0.0,9.992902494331066,montreal-forced-aligners,-54.48722550675676,-61.03447246551514,0.7952097699737468,7.487806504521968
annapoorna_025,0.0,9.992902494331066,montreal-forced-aligners,-48.146670107607605,-62.243817589499734,0.5621338443767391,4.915741641620137
annapoorna_023,0.0,9.992902494331066,montreal-forced-aligners,-45.280037850350354,-59.40796995162964,0.4419766495708122,-1.0530093463822752
venkatachala nilayam_024,0.0,9.992902494331066,montreal-forced-aligners,-49.705295138888886,-64.00074653625488,0.4419754697024001,9.91320550747498
venkatachala nilayam_036,0.0,8.250725623582767,montreal-forced-aligners,-60.25502840909091,-63.54561021592882,0.403095680368721,2.4365248884557964
rangapura_033,0.0,9.992902494331066,montreal-forced-aligners,,,,
rangapura_037,0.0,9.966780045351474,montreal-forced-aligners,,,,
venkatachala nilayam_032,0.0,9.992902494331066,montreal-forced-aligners,,,,
venkatachala nilayam_035,0.0,9.992902494331066,montreal-forced-aligners,,,,
venkatachala nilayam_016,0.0,9.992902494331066,montreal-forced-aligners,,,,
rangapura_035,0.0,9.992902494331066,montreal-forced-aligners,,,,
annapoorna_022,0.0,9.992902494331066,montreal-forced-aligners,,,,
annapoorna_011,0.0,9.992902494331066,montreal-forced-aligners,,,,
kannan_chopped_035,0.0,9.362380952380953,montreal-forced-aligners,,,,
rangapura_043,0.0,9.992902494331066,montreal-forced-aligners,,,,
rangapura_044,0.0,9.992902494331066,montreal-forced-aligners,,,,
rangapura_032,0.0,9.992902494331066,montreal-forced-aligners,,,,
venkatachala nilayam_021,0.0,9.966780045351474,montreal-forced-aligners,,,,
venkatachala nilayam_007,0.0,9.992902494331066,montreal-forced-aligners,,,,
venkatachala nilayam_012,0.0,9.992902494331066,montreal-forced-aligners,,,,
rangapura_042,0.0,9.966780045351474,montreal-forced-aligners,,,,
rangapura_049,0.0,1.3311791383219955,montreal-forced-aligners,-53.332728794642854,,,0.0
venkatachala nilayam_033,0.0,9.992902494331066,montreal-forced-aligners,,,,
venkatachala nilayam_018,0.0,9.992902494331066,montreal-forced-aligners,,,,
annapoorna_021,0.0,9.966780045351474,montreal-forced-aligners,,,,
rangapura_048,0.0,9.992902494331066,montreal-forced-aligners,,,,
rangapura_047,0.0,9.966780045351474,montreal-forced-aligners,,,,
venkatachala nilayam_017,0.0,9.992902494331066,montreal-forced-aligners,,,,
rangapura_041,0.0,9.992902494331066,montreal-forced-aligners,,,,
rangapura_036,0.0,9.992902494331066,montreal-forced-aligners,,,,
annapoorna_049,0.0,1.3311791383219955,montreal-forced-aligners,-52.45957545230263,,,0.0
venkatachala nilayam_015,0.0,9.966780045351474,montreal-forced-aligners,,,,
